City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,atamyrat,37.8357,65.2106,28.3,18,100,4.76,TM,1698225841
212,arraial do cabo,-22.9661,-42.0278,22.92,88,0,3.09,BR,1698225841
213,klyuchi,52.2667,79.1667,12.48,33,100,8.16,RU,1698225842
214,katsuren-haebaru,26.3369,127.8719,26.43,69,40,5.66,JP,1698225843
215,sisimiut,66.9395,-53.6735,-3.74,65,96,6.09,GL,1698225844
216,liwale,-9.7667,37.9333,31.1,49,99,2.59,TZ,1698225844
217,gillette,44.2911,-105.5022,6.64,94,100,5.66,US,1698225605
218,goz beida,13.95,20.55,34.41,13,6,3.3,TD,1698225846
219,bembereke,10.2283,2.6634,28.62,57,90,2.2,BJ,1698225846
220,orange,33.7,-117.7675,19.18,84,100,2.57,US,1698225601
221,manokwari,-0.8667,134.0833,27.05,83,91,1.81,ID,1698225847
222,magadan,59.5667,150.8,-2.44,84,40,3.91,RU,1698225848
223,agaro,7.85,36.65,24.36,65,29,1.21,ET,1698225848
224,lejanias,3.5251,-74.0216,20.84,77,95,2.48,CO,1698225849
225,pitkyaranta,61.5734,31.4792,-0.83,66,6,2.2,RU,1698225849
226,tayu,-6.5397,111.0518,30.23,57,13,4.21,ID,1698225791
227,hailey,43.5196,-114.3153,6.92,64,100,4.02,US,1698225850
228,tailai,46.3833,123.4,13.79,34,32,8.17,CN,1698225851
229,smithers,54.7804,-127.1743,-10.82,92,0,0.0,CA,1698225852
230,arvayheer,46.2639,102.775,8.14,16,78,4.87,MN,1698225680
231,baruun-urt,46.6806,113.2792,5.87,49,81,1.76,MN,1698225854
232,yonggwang-up,40.0183,127.4547,16.87,57,1,2.78,KP,1698225854
233,lagunas,-5.2269,-75.6753,23.38,85,20,1.26,PE,1698225797
234,inarajan village,13.2736,144.7484,28.55,95,27,1.73,GU,1698225856
235,zouerate,22.7187,-12.4521,24.4,37,0,5.15,MR,1698225856
236,dalby,-27.1833,151.2667,30.33,21,4,4.64,AU,1698225857
237,almeirim,-1.5233,-52.5817,23.65,85,7,1.6,BR,1698225858
238,celina,40.5489,-84.5702,18.26,69,100,4.93,US,1698225858
239,solwezi,-12.1688,26.3894,33.06,24,85,2.98,ZM,1698225859
240,nuku'alofa,-21.1333,-175.2,22.19,68,75,5.14,TO,1698225859
241,wailua homesteads,22.0669,-159.378,22.24,83,0,3.09,US,1698225861
242,andkhoy,36.9529,65.1238,28.91,16,81,2.04,AF,1698225862
243,nova vicosa,-17.8919,-39.3719,23.7,81,46,5.96,BR,1698225603
244,bubaque,11.2833,-15.8333,28.25,77,100,2.81,GW,1698225864
245,drayton valley,53.2168,-114.9854,-16.68,92,19,1.62,CA,1698225864
246,peterhead,57.5058,-1.7981,9.22,87,100,12.67,GB,1698225865
247,port douglas,-16.4833,145.4667,23.56,78,6,2.82,AU,1698225618
248,tvoroyri,61.5556,-6.8111,9.98,86,78,8.07,FO,1698225866
249,singaraja,-8.112,115.0882,28.9,73,71,2.17,ID,1698225866
250,gatesville,31.4352,-97.7439,22.97,96,100,3.6,US,1698225867
251,weisendorf,49.6228,10.8253,10.88,87,41,1.79,DE,1698225867
252,cabo san lucas,22.8909,-109.9124,23.75,68,41,0.89,MX,1698225628
253,itaguai,-22.8522,-43.7753,23.68,96,100,1.93,BR,1698225868
254,bardai,11.65,7.2333,29.47,16,59,4.62,NG,1698225869
255,taikang,46.8333,124.4167,13.49,40,29,7.82,CN,1698225870
256,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.0,GF,1698225870
257,nar'yan-mar,67.6713,53.087,-0.5,96,100,6.71,RU,1698225871
258,san jose del guaviare,2.5729,-72.6459,22.9,98,99,0.33,CO,1698225871
259,port macquarie,-31.4333,152.9167,20.5,86,87,5.23,AU,1698225819
260,taro,-8.3862,115.28,27.0,70,85,1.93,ID,1698225872
261,quelimane,-17.8786,36.8883,41.08,21,0,1.22,MZ,1698225873
262,naestved,55.2299,11.7609,10.51,90,100,2.83,DK,1698225874
263,punta arenas,-53.15,-70.9167,6.06,70,20,9.77,CL,1698225736
264,saudarkrokur,65.7461,-19.6394,0.96,80,97,2.06,IS,1698225875
265,coahuayana de hidalgo,18.7,-103.6583,23.14,93,86,1.84,MX,1698225875
266,turbat,26.0023,63.044,34.22,25,2,3.84,PK,1698225876
267,hafar al-batin,28.4328,45.9708,27.32,44,75,4.12,SA,1698225876
268,tsiombe,-25.3,45.4833,32.56,41,100,7.92,MG,1698225877
269,male,4.1748,73.5089,30.97,74,20,4.63,MV,1698225877
270,fort st. john,56.2499,-120.8529,-12.06,79,0,4.12,CA,1698225878
271,rolla,37.9514,-91.7713,21.12,51,100,6.69,US,1698225879
272,caazapa,-26.15,-56.4,18.96,97,99,2.22,PY,1698225879
273,nizhnevartovsk,60.9344,76.5531,-1.99,69,100,2.0,RU,1698225880
274,solleftea,63.1667,17.2667,1.92,76,38,1.99,SE,1698225881
275,talnakh,69.4865,88.3972,-7.32,95,100,1.27,RU,1698225881
276,horta,38.5333,-28.6333,21.12,93,75,9.26,PT,1698225882
277,beboto,8.2668,16.939,32.17,51,85,1.33,TD,1698225882
278,leava,-14.3,-178.1667,26.76,81,89,10.18,WF,1698225883
279,port-vila,-17.7338,168.3219,23.78,94,100,1.03,VU,1698225793
280,vila franca do campo,37.7167,-25.4333,21.23,86,100,5.95,PT,1698225884
281,hami,42.8,93.45,18.49,24,0,1.08,CN,1698225885
282,villecresnes,48.7167,2.5333,14.56,95,75,5.66,FR,1698225885
283,phalodi,27.1333,72.3667,33.56,15,1,1.39,IN,1698225886
